ensgid	H_Cre_Ctrl_1	H_Cre_Ctrl_2	H_Cre_Ctrl_3	H_Cre_Ctrl_4	H_K2K4_DKO_1	H_K2K4_DKO_2	H_K2K4_DKO_3	H_K2K4_DKO_4
ENSMUSG00000080849.1	0	0	0	0	0	0	0	0
ENSMUSG00000104257.1	0	0	0	0	1	0	0	0
ENSMUSG00000096866.1	0	0	0	0	0	0	0	0
ENSMUSG00000102296.1	0	0	0	0	0	0	0	0
ENSMUSG00000103209.1	1	0	0	0	0	0	0	0
ENSMUSG00000104027.1	0	0	0	0	0	0	1	1
ENSMUSG00000102407.1	0	0	0	0	0	0	1	0
ENSMUSG00000103214.1	0	0	0	0	0	0	0	0
ENSMUSG00000104100.1	1	0	0	0	0	0	0	0
ENSMUSG00000084740.1	0	0	0	0	0	0	0	0
ENSMUSG00000103889.1	0	0	0	0	0	0	0	0
ENSMUSG00000101301.1	0	0	0	0	0	0	0	0
ENSMUSG00000104221.1	1	1	0	0	0	0	0	0
ENSMUSG00000102250.1	2	0	0	0	0	0	1	2
ENSMUSG00000102317.1	0	0	2	0	0	0	0	1
ENSMUSG00000103563.1	0	0	0	0	0	0	0	0
ENSMUSG00000102465.1	0	0	0	0	0	0	0	0
ENSMUSG00000102659.1	1	1	1	0	1	0	0	1
ENSMUSG00000103924.1	0	0	0	0	0	0	0	0
ENSMUSG00000104132.1	0	0	0	0	0	0	0	0
ENSMUSG00000102747.1	0	0	1	0	0	0	0	0
ENSMUSG00000102386.1	0	0	0	0	0	0	0	0
ENSMUSG00000103004.1	0	0	0	1	0	0	0	0
ENSMUSG00000104516.1	0	1	0	0	0	0	0	0
ENSMUSG00000101618.1	0	0	0	0	0	0	0	0
ENSMUSG00000099458.1	0	0	0	0	0	0	1	0
ENSMUSG00000088111.1	0	0	0	0	0	0	0	0
ENSMUSG00000073722.3	3	1	2	0	0	0	1	1
ENSMUSG00000095256.1	0	0	0	0	0	0	0	0
ENSMUSG00000100310.1	0	0	0	0	0	0	0	0
ENSMUSG00000101514.1	0	2	1	1	0	0	2	0
ENSMUSG00000101033.1	0	0	0	0	0	0	0	0
ENSMUSG00000101372.1	1	0	0	0	0	0	6	0
ENSMUSG00000103241.1	0	0	0	0	1	0	0	1
ENSMUSG00000086240.4	0	0	0	1	0	0	0	0
ENSMUSG00000048411.4	0	0	0	0	0	0	0	0
ENSMUSG00000081557.2	2	0	1	0	1	0	2	2
ENSMUSG00000058590.2	0	0	0	0	0	0	0	0
ENSMUSG00000101235.1	0	0	0	0	0	0	0	0
ENSMUSG00000064433.1	0	0	0	0	0	0	0	0
ENSMUSG00000080625.1	0	0	0	0	0	0	0	0
ENSMUSG00000080391.1	0	0	0	0	0	0	0	0
ENSMUSG00000099257.1	0	0	0	0	0	0	0	0
ENSMUSG00000099492.1	0	0	1	0	1	0	3	3
ENSMUSG00000118548.1	0	0	0	0	0	0	0	0
ENSMUSG00000101726.1	0	1	1	1	1	2	2	0
ENSMUSG00000096829.1	0	0	0	0	0	0	0	0
ENSMUSG00000098883.1	0	0	0	0	0	0	0	0
ENSMUSG00000053185.2	2	0	0	0	0	0	0	0
ENSMUSG00000100261.1	2	2	0	1	0	0	1	0
ENSMUSG00000101180.1	1	0	1	0	1	1	2	1
ENSMUSG00000048874.15	2921	2917	2941	2822	3157	2633	10645	3177
ENSMUSG00000103783.1	74	67	62	68	57	56	226	58
ENSMUSG00000104315.1	113	114	104	144	136	97	491	129
ENSMUSG00000026064.16	162	153	191	153	187	151	617	174
ENSMUSG00000117310.2	1	3	0	0	1	3	4	2
ENSMUSG00000117091.1	0	0	0	0	0	0	0	0
ENSMUSG00000086726.3	0	0	0	0	0	0	0	0
ENSMUSG00000086727.8	0	1	0	1	0	1	0	0
ENSMUSG00000100237.1	0	0	0	1	0	0	0	0
ENSMUSG00000098529.1	0	0	0	0	0	0	0	0
ENSMUSG00000100910.1	1	0	1	0	0	0	0	2
ENSMUSG00000099796.1	0	0	0	0	0	0	0	0
ENSMUSG00000050217.13	0	0	0	0	0	0	0	1
ENSMUSG00000026063.4	0	0	0	0	0	0	0	0
ENSMUSG00000077664.1	0	0	0	0	0	0	0	0
ENSMUSG00000100205.1	0	0	0	0	0	0	0	0
ENSMUSG00000100592.1	0	0	0	0	0	0	0	0
ENSMUSG00000094215.2	0	0	0	0	0	0	0	0
ENSMUSG00000101093.1	0	0	2	0	1	0	1	0
ENSMUSG00000070960.4	0	0	1	0	0	0	0	0
ENSMUSG00000088620.1	0	0	0	0	0	0	0	0
ENSMUSG00000082159.2	0	0	0	0	0	0	0	0
ENSMUSG00000026058.11	0	0	0	1	0	0	2	1
ENSMUSG00000064688.1	0	0	0	0	0	0	0	0
ENSMUSG00000103482.1	0	0	0	0	0	0	3	1
ENSMUSG00000104498.1	0	0	0	0	0	0	0	0
ENSMUSG00000104313.1	0	0	0	0	0	0	0	0
ENSMUSG00000102865.1	0	0	0	0	0	0	0	0
ENSMUSG00000102321.1	0	0	0	0	1	0	1	1
ENSMUSG00000091318.2	0	1	0	1	0	0	2	0
ENSMUSG00000089489.1	0	0	0	0	0	0	0	0
ENSMUSG00000104433.1	0	0	0	2	0	0	0	1
ENSMUSG00000089395.1	0	0	0	0	0	0	0	0
ENSMUSG00000102926.1	0	0	0	1	0	0	0	1
ENSMUSG00000100497.1	0	0	0	0	0	0	0	0
ENSMUSG00000102917.1	0	0	0	0	0	0	0	0
ENSMUSG00000100481.1	1	0	1	0	0	0	2	0
ENSMUSG00000100590.1	0	1	0	0	0	0	1	0
ENSMUSG00000088750.1	0	0	0	0	0	0	0	0
ENSMUSG00000104230.1	0	0	0	0	0	0	0	0
ENSMUSG00000101754.2	0	0	0	0	0	0	0	0
ENSMUSG00000065223.1	0	0	0	0	0	0	0	0
ENSMUSG00000100318.2	2	0	0	1	0	2	0	0
ENSMUSG00000101612.2	1	3	4	6	0	1	0	0
ENSMUSG00000065260.1	0	0	0	0	0	0	0	0
ENSMUSG00000026134.11	276	223	288	366	679	515	1753	730
ENSMUSG00000101682.1	0	0	1	4	3	0	14	4
ENSMUSG00000102714.1	20	20	17	45	45	45	108	46
ENSMUSG00000102093.1	0	1	7	1	2	1	7	4
ENSMUSG00000103746.1	4	6	5	1	2	1	6	1
ENSMUSG00000102198.1	0	1	2	0	0	1	1	1
ENSMUSG00000004768.14	301	262	293	270	324	269	872	311
ENSMUSG00000042215.8	85	53	77	82	65	33	149	48
