ensgid	CRE_1_S1	CRE_2_S2	CRE_3_S3	CRE_4_S4	DKO_1_S5	DKO_2_S6	DKO_3_S7	DKO_4_S8
ENSMUSG00000002210.11	691	729	584	544	621	632	642	800
ENSMUSG00000002221.11	834	899	959	883	876	1176	1206	1529
ENSMUSG00000002222.14	3046	3586	3850	2997	2898	2794	3158	4121
ENSMUSG00000002227.15	1495	1539	1552	1090	1190	1354	2104	2235
ENSMUSG00000002228.7	200	216	170	132	1269	758	1318	1631
ENSMUSG00000002233.13	4310	4285	4156	3482	12434	11067	13542	16419
ENSMUSG00000002240.12	0	0	0	0	0	0	0	0
ENSMUSG00000002249.21	320	367	349	291	179	213	225	246
ENSMUSG00000002250.16	821	831	835	765	1392	1392	1718	2024
ENSMUSG00000002257.8	182	140	196	157	179	152	207	282
ENSMUSG00000002265.17	698	950	827	694	30456	16090	30138	35382
ENSMUSG00000002266.17	4	11	1	6	285	97	318	308
ENSMUSG00000002274.13	98	110	127	97	84	183	158	168
ENSMUSG00000002279.19	517	515	559	347	390	423	513	628
ENSMUSG00000002280.11	377	378	351	253	362	347	376	527
ENSMUSG00000002289.16	88	247	248	123	537	306	435	629
ENSMUSG00000002297.16	112	131	137	77	552	799	858	1115
ENSMUSG00000002307.16	653	698	608	526	1103	987	1091	1307
ENSMUSG00000002308.16	89	73	70	94	218	121	192	242
ENSMUSG00000002319.16	310	328	303	239	518	554	689	740
ENSMUSG00000002320.15	1262	1284	1335	1138	1724	2015	2136	2628
ENSMUSG00000002324.8	54	42	72	26	21	39	52	66
ENSMUSG00000002325.15	2222	2331	2537	1549	1541	2515	2030	2291
ENSMUSG00000002326.6	115	171	168	136	182	202	248	312
ENSMUSG00000002329.7	450	488	438	362	714	556	726	860
ENSMUSG00000002332.16	908	892	915	770	1533	1037	1417	1612
ENSMUSG00000002341.8	4	0	0	0	5	0	6	1
